Data;À vista R$
21/11/2018;1261,34
22/11/2018;1261,84
23/11/2018;1245,79
26/11/2018;1244,96
27/11/2018;1235,62
28/11/2018;1240,61
29/11/2018;1241,54
30/11/2018;1245,68
03/12/2018;1254,12
04/12/2018;1256,79
05/12/2018;1254,97
06/12/2018;1256,34
07/12/2018;1257,74
10/12/2018;1262,48
11/12/2018;1247,81
12/12/2018;1249,91
13/12/2018;1246,61
14/12/2018;1248,57
17/12/2018;1235,06
18/12/2018;1268,03
19/12/2018;1260,66
20/12/2018;1270,10
21/12/2018;1263,04
26/12/2018;1235,00
27/12/2018;1223,33
28/12/2018;1225,47
02/01/2019;1199,39
03/01/2019;1222,07
04/01/2019;1274,30
07/01/2019;1274,30
08/01/2019;1267,36
09/01/2019;1247,41
10/01/2019;1263,75
11/01/2019;1223,51
14/01/2019;1233,95
15/01/2019;1229,94
16/01/2019;1212,80
17/01/2019;1205,44
18/01/2019;1208,22
21/01/2019;1198,09
22/01/2019;1256,35
23/01/2019;1278,72
24/01/2019;1276,59
25/01/2019;1269,41
28/01/2019;1264,90
29/01/2019;1235,49
30/01/2019;1231,10
31/01/2019;1225,03
01/02/2019;1222,06
04/02/2019;1221,02
05/02/2019;1222,03
06/02/2019;1214,56
07/02/2019;1224,65
08/02/2019;1219,18
11/02/2019;1224,12
12/02/2019;1211,90
13/02/2019;1215,77
14/02/2019;1200,67
15/02/2019;1228,39
18/02/2019;1209,76
19/02/2019;1222,01
20/02/2019;1228,52
21/02/2019;1241,82
22/02/2019;1231,31
25/02/2019;1229,64
26/02/2019;1253,21
27/02/2019;1247,68
28/02/2019;1274,13
01/03/2019;1268,59
06/03/2019;1245,37
07/03/2019;1217,43
08/03/2019;1213,76
11/03/2019;1214,61
12/03/2019;1245,00
13/03/2019;1252,11
14/03/2019;1257,30
15/03/2019;1250,83
18/03/2019;1252,09
19/03/2019;1244,92
20/03/2019;1244,92
21/03/2019;1229,94
22/03/2019;1229,86
25/03/2019;1229,35
26/03/2019;1225,66
27/03/2019;1227,67
28/03/2019;1230,97
29/03/2019;1239,27
01/04/2019;1240,97
02/04/2019;1252,64
03/04/2019;1252,20
04/04/2019;1231,62
05/04/2019;1241,75
08/04/2019;1239,19
09/04/2019;1234,73
10/04/2019;1235,57
11/04/2019;1243,69
12/04/2019;1209,76
15/04/2019;1239,06
16/04/2019;1254,87
17/04/2019;1236,62
18/04/2019;1247,19
22/04/2019;1247,13
23/04/2019;1278,31
24/04/2019;1279,45
25/04/2019;1281,24
26/04/2019;1281,00
29/04/2019;1281,00
30/04/2019;1279,91
02/05/2019;1286,18
03/05/2019;1294,33
06/05/2019;1294,33
07/05/2019;1306,73
08/05/2019;1287,66
09/05/2019;1284,94
10/05/2019;1279,63
13/05/2019;1300,80
14/05/2019;1305,30
15/05/2019;1314,90
16/05/2019;1317,00
17/05/2019;1326,93
20/05/2019;1311,31
21/05/2019;1290,08
22/05/2019;1284,79
23/05/2019;1281,39
24/05/2019;1279,79
27/05/2019;1279,79
28/05/2019;1277,89
29/05/2019;1283,98
30/05/2019;1290,61
31/05/2019;1282,87
03/06/2019;1286,92
04/06/2019;1288,63
05/06/2019;1283,73
06/06/2019;1281,21
07/06/2019;1286,95
10/06/2019;1290,15
11/06/2019;1295,50
12/06/2019;1300,22
13/06/2019;1306,48
14/06/2019;1311,04
17/06/2019;1300,74
18/06/2019;1284,14
19/06/2019;1287,34
21/06/2019;1292,32
24/06/2019;1291,77
25/06/2019;1285,77
26/06/2019;1259,36
27/06/2019;1256,22
28/06/2019;1250,85
01/07/2019;1243,23
02/07/2019;1256,26
03/07/2019;1259,62
04/07/2019;1259,19
05/07/2019;1265,33
08/07/2019;1282,03
09/07/2019;1291,50
10/07/2019;1282,23
11/07/2019;1266,04
12/07/2019;1266,97
15/07/2019;1256,81
16/07/2019;1259,69
17/07/2019;1255,20
18/07/2019;1274,29
19/07/2019;1268,59
22/07/2019;1270,41
23/07/2019;1289,18
24/07/2019;1289,13
25/07/2019;1277,63
26/07/2019;1296,96
29/07/2019;1306,99
30/07/2019;1303,14
31/07/2019;1292,73
01/08/2019;1294,57
02/08/2019;1290,67
05/08/2019;1291,60
06/08/2019;1298,54
07/08/2019;1310,70
08/08/2019;1301,54
09/08/2019;1310,18
12/08/2019;1308,44
13/08/2019;1292,16
14/08/2019;1283,25
15/08/2019;1290,19
16/08/2019;1287,42
19/08/2019;1287,17
20/08/2019;1279,05
21/08/2019;1273,91
22/08/2019;1271,16
23/08/2019;1278,51
26/08/2019;1270,60
27/08/2019;1267,04
28/08/2019;1271,20
29/08/2019;1299,30
30/08/2019;1300,24
02/09/2019;1305,23
03/09/2019;1333,83
04/09/2019;1341,48
05/09/2019;1350,90
06/09/2019;1357,79
09/09/2019;1363,92
10/09/2019;1338,97
11/09/2019;1333,90
12/09/2019;1310,93
13/09/2019;1308,57
16/09/2019;1308,36
17/09/2019;1310,89
18/09/2019;1311,56
19/09/2019;1331,14
20/09/2019;1329,67
23/09/2019;1337,21
24/09/2019;1349,82
25/09/2019;1359,23
26/09/2019;1370,80
27/09/2019;1370,00
30/09/2019;1369,58
01/10/2019;1363,85
02/10/2019;1364,53
03/10/2019;1360,20
04/10/2019;1360,85
07/10/2019;1357,04
08/10/2019;1355,72
09/10/2019;1353,35
10/10/2019;1339,45
11/10/2019;1332,34
14/10/2019;1333,09
15/10/2019;1344,95
16/10/2019;1337,59
17/10/2019;1333,92
18/10/2019;1336,04
21/10/2019;1340,19
22/10/2019;1352,35
23/10/2019;1367,38
24/10/2019;1378,91
25/10/2019;1378,51
28/10/2019;1378,51
29/10/2019;1387,79
30/10/2019;1386,93
31/10/2019;1387,63
01/11/2019;1382,96
04/11/2019;1382,96
05/11/2019;1380,43
06/11/2019;1394,49
07/11/2019;1408,41
08/11/2019;1406,24
11/11/2019;1404,05
12/11/2019;1417,34
13/11/2019;1447,58
14/11/2019;1465,54
18/11/2019;1454,29
19/11/2019;1500,84
20/11/2019;1538,21
21/11/2019;1543,78
22/11/2019;1545,97
25/11/2019;1549,35
26/11/2019;1545,46
27/11/2019;1587,68
28/11/2019;1579,17
29/11/2019;1580,16
02/12/2019;1577,91
03/12/2019;1594,39
04/12/2019;1594,39
05/12/2019;1580,24
06/12/2019;1568,77
09/12/2019;1574,34
10/12/2019;1554,24
11/12/2019;1554,24
12/12/2019;1481,21
13/12/2019;1486,17
16/12/2019;1471,44
17/12/2019;1546,99
18/12/2019;1546,99
19/12/2019;1572,34
20/12/2019;1554,15
23/12/2019;1556,83
26/12/2019;1505,29
27/12/2019;1512,88
30/12/2019;1512,88
02/01/2020;1467,51
03/01/2020;1514,08
06/01/2020;1533,18
07/01/2020;1533,18
08/01/2020;1523,64
09/01/2020;1556,75
10/01/2020;1546,93
13/01/2020;1553,36
14/01/2020;1553,36
15/01/2020;1540,39
16/01/2020;1619,19
17/01/2020;1596,56
20/01/2020;1604,40
21/01/2020;1663,62
22/01/2020;1655,42
23/01/2020;1655,00
24/01/2020;1663,09
27/01/2020;1661,68
28/01/2020;1663,68
29/01/2020;1663,78
30/01/2020;1653,23
31/01/2020;1655,05
03/02/2020;1657,14
04/02/2020;1695,67
05/02/2020;1699,43
06/02/2020;1687,26
07/02/2020;1675,96
10/02/2020;1684,82
11/02/2020;1730,77
12/02/2020;1719,26
13/02/2020;1725,47
14/02/2020;1755,01
17/02/2020;1751,80
18/02/2020;1777,00
19/02/2020;1742,90
20/02/2020;1746,84
21/02/2020;1742,01
26/02/2020;1742,05
27/02/2020;1746,88
28/02/2020;1746,58
02/03/2020;1742,81
03/03/2020;1747,76
04/03/2020;1755,49
05/03/2020;1742,07
06/03/2020;1742,07
09/03/2020;1752,32
10/03/2020;1797,12
11/03/2020;1802,50
12/03/2020;1828,10
13/03/2020;1813,32
16/03/2020;1809,94
17/03/2020;1802,25
18/03/2020;1768,68
19/03/2020;1783,38
20/03/2020;1800,33
23/03/2020;1789,39
24/03/2020;1787,61
25/03/2020;1787,61
26/03/2020;1787,61
27/03/2020;1789,39
30/03/2020;1795,65
31/03/2020;1789,39
01/04/2020;1820,50
02/04/2020;1831,84
03/04/2020;1840,90
06/04/2020;1816,48
07/04/2020;1823,00
08/04/2020;1873,65
09/04/2020;1880,13
13/04/2020;1873,62
14/04/2020;1867,23
15/04/2020;1847,14
16/04/2020;1826,39
17/04/2020;1855,32
20/04/2020;1872,29
22/04/2020;1860,38
23/04/2020;1841,22
24/04/2020;1838,46
27/04/2020;1826,90
28/04/2020;1810,52
29/04/2020;1813,00
30/04/2020;1820,14
04/05/2020;1822,70
05/05/2020;1827,23
06/05/2020;1823,75
07/05/2020;1804,54
08/05/2020;1804,64
11/05/2020;1804,33
12/05/2020;1797,94
13/05/2020;1785,79
14/05/2020;1767,11
15/05/2020;1807,76
18/05/2020;1791,05
19/05/2020;1807,17
20/05/2020;1865,04
21/05/2020;1865,04
22/05/2020;1860,67
25/05/2020;1887,63
26/05/2020;1864,31
27/05/2020;1823,83
28/05/2020;1822,19
29/05/2020;1832,53
01/06/2020;1843,61
02/06/2020;1843,61
03/06/2020;1872,55
04/06/2020;1870,94
05/06/2020;1877,38
08/06/2020;1884,94
09/06/2020;1895,15
10/06/2020;1897,11
12/06/2020;1895,53
15/06/2020;1916,34
16/06/2020;1942,69
17/06/2020;1937,91
18/06/2020;1931,23
19/06/2020;1946,29
22/06/2020;1944,63
23/06/2020;1953,32
24/06/2020;1966,31
25/06/2020;1975,07
26/06/2020;1994,27
29/06/2020;1979,05
30/06/2020;1973,36
01/07/2020;2004,84
02/07/2020;2023,33
03/07/2020;2023,33
06/07/2020;2086,51
07/07/2020;2099,23
08/07/2020;2091,44
09/07/2020;2033,20
10/07/2020;2033,20
13/07/2020;2003,52
14/07/2020;2020,40
15/07/2020;2024,93
16/07/2020;2046,84
17/07/2020;2069,18
20/07/2020;2062,89
21/07/2020;2085,52
22/07/2020;2090,86
23/07/2020;2088,03
24/07/2020;2080,84
27/07/2020;2074,75
28/07/2020;2067,73
29/07/2020;2060,79
30/07/2020;2065,40
31/07/2020;2065,40
03/08/2020;2071,82
04/08/2020;2073,39
05/08/2020;2088,48
06/08/2020;2063,69
07/08/2020;2043,37
10/08/2020;2046,28
11/08/2020;2031,38
12/08/2020;2025,70
13/08/2020;2050,94
14/08/2020;2037,09
17/08/2020;2047,44
18/08/2020;2066,09
19/08/2020;2089,33
20/08/2020;2087,34
21/08/2020;2097,04
24/08/2020;2126,62
25/08/2020;2156,41
26/08/2020;2157,41
27/08/2020;2189,97
28/08/2020;2196,95
